ip,uplink_length,downlink_length,sum_length
10.21.12.148,485156,-344627612,-344142456
10.49.120.182,2072,2677,4749
10.49.126.115,14511,7786,22297
10.49.126.118,32581,9803,42384
10.49.126.12,244109851,232425493,476535344
10.49.126.123,47836,17497,65333
10.49.126.127,24729,11283,36012
10.49.126.129,129455,39089,168544
10.49.126.130,19994,13035,33029
10.49.126.134,18838,6438,25276
10.49.126.147,9603,8764,18367
10.49.126.148,10696,7492,18188
10.49.126.154,6934,3696,10630
10.49.126.157,11256,5164,16420
10.49.126.176,49715,24316,74031
10.49.126.179,24279,11176,35455
10.49.126.189,7289,5257,12546
10.49.126.192,16578,12053,28631
10.49.126.199,44219,13564,57783
10.49.126.204,1913527,90897012,92810539
10.49.126.210,40016,22115,62131
10.49.126.223,133924,60636,194560
10.49.126.225,23211985,19235774,42447759
10.49.126.252,20449,7403,27852
10.49.126.35,99440,47099,146539
10.49.126.50,33760,7965,41725
10.49.126.87,88483,33925,122408
10.49.126.9,49725,143702,193427
10.49.126.95,175847,188065,363912
10.49.137.115,57584,56772,114356
10.49.137.12,34568861,24190132,58758993
10.49.137.123,17376,267765,285141
10.49.137.135,11932,15879,27811
10.49.137.136,5387614233,582704705,5970318938
10.49.137.156,1387165,653813,2040978
10.49.137.165,23728644,21117255,44845899
10.49.137.166,497862367,1311768907,1809631274
10.49.137.193,12139,5486,17625
10.49.137.199,277770969,256022923,533793892
10.49.137.207,54528,48768,103296
10.49.137.38,15650465,9171565,24822030
10.49.137.39,342687,720123,1062810
10.49.137.7,1251427138,437797992,1689225130
10.49.137.87,4969572638,51480343362,56449916000
10.49.137.91,246403697,26560357,272964054
10.49.137.97,4037557,3363623,7401180
10.49.141.206,1336608,57294,1393902
10.49.148.121,12940959,20277971,33218930
10.49.148.130,482211180,530311993,1012523173
10.49.148.73,30424587,1887184267,1917608854
10.49.174.199,6991798,4021882,11013680
10.49.178.162,10717423,12026069,22743492
10.49.180.112,6215,15075,21290
10.49.180.12,14268179,1329137138,1343405317
10.49.180.30,636752740,317289988,954042728
10.49.181.112,983179,2902805,3885984
10.49.181.146,6080,4390,10470
10.49.181.16,4793,4336,9129
10.49.181.207,6742,5700,12442
10.49.181.209,285,123504,123789
10.49.181.21,2160,1978,4138
10.49.181.231,8027,7206,15233
10.49.181.236,552,439,991
10.49.181.35,364,0,364
10.49.181.36,374,1075,1449
10.49.181.67,10848,7592,18440
10.49.181.95,4200,3073,7273
10.49.207.175,18666869,34935781,53602650
10.49.207.18,314465,1828789,2143254
10.49.207.199,2560796,130743,2691539
10.49.207.223,899315162,18717700,918032862
10.49.21.15,5788474138,17876946658,23665420796
10.49.21.204,4213,5516,9729
10.49.21.251,13185303991,156967702,13342271693
10.49.212.126,13686933,570061231,583748164
10.49.212.147,351496309,197459623,548955932
10.49.212.162,146648865,657523377,804172242
10.49.212.186,6036513,11967304,18003817
10.49.212.206,87682591,1457027033,1544709624
10.49.212.21,875014,2083411,2958425
10.49.212.7,199725641,1761423603,1961149244
10.49.216.135,103134326,13558081,116692407
10.49.216.229,38789479,23186204,61975683
10.49.216.34,50266307,12777918,63044225
10.49.216.62,73586050,26332458,99918508
10.49.216.88,1372197,1368897,2741094
10.49.22.154,113,772,885
10.49.223.121,234837675,186126922,420964597
10.49.223.123,19913,25307,45220
10.49.223.152,8022833,4147648,12170481
10.49.223.163,5530926628,600536383,6131463011
10.49.223.173,9269047,456405,9725452
10.49.223.194,1554068825,452046568,2006115393
10.49.223.199,2409043,6715298,9124341
10.49.223.215,1508609,45812,1554421
10.49.223.216,894337,166147,1060484
10.49.223.233,1172,1804,2976
10.49.223.50,45406212,5426204,50832416
10.49.223.77,329488,592765,922253
10.49.223.80,2182917,3015438,5198355
10.49.223.90,7360448,113336904,120697352
10.49.223.91,12580,89021,101601
10.49.231.206,46927755,122800087,169727842
10.49.231.21,20164526,44850910,65015436
10.49.253.15,68717326,28834572,97551898
10.49.253.159,515052188,187286129,702338317
10.49.253.162,252424092,472458697,724882789
10.49.253.219,726810981,319835228,1046646209
10.49.253.233,611591565,247258100,858849665
10.49.253.30,1255643,31902,1287545
10.49.253.35,342204826,413065815,755270641
10.49.253.63,431200,336746,767946
10.49.27.21,8365566,10086117,18451683
10.49.34.157,197197,110094,307291
10.49.36.102,1772,106829,108601
10.49.36.147,925848504,450720944,1376569448
10.49.36.161,37371851,25668807,63040658
10.49.36.175,1686,34618,36304
10.49.36.185,10588,34327,44915
10.49.36.233,28092724,40534208,68626932
10.49.36.7,45076,86973,132049
10.49.36.87,40668,71147,111815
10.49.45.121,20767,7444,28211
10.49.45.144,59843618,402879671,462723289
10.49.45.146,7660713,19623600,27284313
10.49.45.55,410427922,513309136,923737058
10.49.45.64,1234886917,8718543128,9953430045
10.49.56.62,392,485,877
10.49.81.136,163064290,13184959651,13348023941
10.49.81.18,-344281724,497746,-343783978
10.49.81.218,1076295240,163997801,1240293041
10.54.1.100,3537,9725,13262
10.54.1.118,3028,9162,12190
10.54.1.119,9960,42736,52696
10.54.1.126,3074,9130,12204
10.54.1.137,13351,39395,52746
10.54.1.145,1004,2947,3951
10.54.1.159,3538,9167,12705
10.54.1.164,5008,15986,20994
10.54.1.179,4820,16895,21715
10.54.1.186,1046,5073,6119
10.54.1.199,1891,6750,8641
10.54.1.211,581228,1277659,1858887
10.54.1.223,3849,13706,17555
10.54.1.231,1107,2417,3524
10.54.1.236,8758,25419,34177
10.54.1.239,2894,9199,12093
10.54.1.49,11485,38654,50139
10.54.1.5,6128,12067,18195
10.54.1.58,4764,13095,17859
10.54.1.81,1903,7812,9715
10.54.1.90,30919,94335,125254
10.54.103.116,7766,23926,31692
10.54.103.17,4774,10453,15227
10.54.103.67,3195,10490,13685
10.54.11.145,3985,11489,15474
10.54.11.188,1068,2926,3994
10.54.11.203,1673,6743,8416
10.54.110.105,4046,12530,16576
10.54.110.144,906,2910,3816
10.54.110.229,2284,8458,10742
10.54.110.26,830,4370,5200
10.54.110.96,1417,4965,6382
10.54.112.152,9196,27892,37088
10.54.112.88,4134,13943,18077
10.54.113.137,7754,25332,33086
10.54.113.176,3837,2058,5895
10.54.113.190,377225,755641,1132866
10.54.113.197,173318,367073,540391
10.54.113.229,8561,32466,41027
10.54.113.231,6726,25975,32701
10.54.113.250,12166,48173,60339
10.54.113.65,8936,16847,25783
10.54.113.87,5699,15585,21284
10.54.113.99,1343,4370,5713
10.54.115.119,8158,21629,29787
10.54.115.12,1900,6620,8520
10.54.115.123,4935,10490,15425
10.54.115.14,15339,50024,65363
10.54.115.163,21153,66805,87958
10.54.115.172,4034,10490,14524
10.54.115.200,6859,26034,32893
10.54.115.204,12195,27337,39532
10.54.115.211,441,2185,2626
10.54.115.215,8889,28043,36932
10.54.115.220,5253,17603,22856
10.54.115.236,4992,18700,23692
10.54.115.241,4667,15948,20615
10.54.115.250,636621,2834344,3470965
10.54.115.30,7575,27351,34926
10.54.115.45,8657,28647,37304
10.54.115.52,12498,13355,25853
10.54.115.75,420,2185,2605
10.54.115.82,6559,26493,33052
10.54.118.95,482,1707,2189
10.54.12.101,1417,4965,6382
10.54.12.114,1592,3539,5131
10.54.12.197,1556,3635,5191
10.54.12.210,7009,24673,31682
10.54.12.224,985,0,985
10.54.12.228,6932,17689,24621
10.54.12.237,2254,8405,10659
10.54.12.244,2396,8442,10838
10.54.12.41,2270,8442,10712
10.54.12.57,3813,13706,17519
10.54.12.91,8100,25289,33389
10.54.12.94,1900,4965,6865
10.54.125.166,440,403,843
10.54.125.240,300951,471922,772873
10.54.126.100,1128,642,1770
10.54.126.157,1880,1070,2950
10.54.126.18,23015,7514,30529
10.54.126.188,690,558,1248
10.54.126.196,1504,856,2360
10.54.126.208,96188,95412,191600
10.54.126.213,1867792,67241,1935033
10.54.126.230,6562,3638,10200
10.54.126.244,4900,7305,12205
10.54.126.249,5206,7461,12667
10.54.126.26,2257,7071,9328
10.54.126.3,9227,13429,22656
10.54.126.33,665,1230,1895
10.54.126.38,3384,1926,5310
10.54.127.1,924,4972,5896
10.54.130.20,1900,6620,8520
10.54.139.101,279034,637046,916080
10.54.139.126,11479,29186,40665
10.54.139.148,1683,6750,8433
10.54.139.191,5217,16550,21767
10.54.139.197,3973,8200,12173
10.54.139.206,4902,12157,17059
10.54.139.211,1446,3635,5081
10.54.139.250,8594,29650,38244
10.54.139.26,5882,17583,23465
10.54.139.39,7543,20971,28514
10.54.139.40,7900,16238,24138
10.54.139.56,2794,8036,10830
10.54.140.0,934,3310,4244
10.54.141.10,2390,8405,10795
10.54.141.11,5888,21204,27092
10.54.141.110,4311,15458,19769
10.54.141.12,1022,3310,4332
10.54.141.152,3058,9988,13046
10.54.141.157,3029,9000,12029
10.54.141.170,7117,24825,31942
10.54.141.174,2923,7512,10435
10.54.141.18,1904,6592,8496
10.54.141.183,1242,2947,4189
10.54.141.189,13911,42147,56058
10.54.141.193,1719,6766,8485
10.54.141.216,1750,3672,5422
10.54.141.238,5804,15963,21767
10.54.141.244,6548,21586,28134
10.54.141.246,2056,4088,6144
10.54.141.26,2822,8405,11227
10.54.141.38,4296,6977,11273
10.54.141.48,1703,6796,8499
10.54.141.58,632,4370,5002
10.54.141.74,8476,40168,48644
10.54.141.79,1466,2910,4376
10.54.141.96,302021,539686,841707
10.54.143.250,1900,6620,8520
10.54.143.84,4484,15934,20418
10.54.146.115,15880,65393,81273
10.54.146.192,4891,10380,15271
10.54.146.210,30083,99353,129436
10.54.146.231,1443,3539,4982
10.54.146.247,2272,8405,10677
10.54.146.252,2522,8154,10676
10.54.146.32,3906,9844,13750
10.54.146.47,1198,2947,4145
10.54.146.91,1492,3635,5127
10.54.147.0,2999,10326,13325
10.54.147.1,2873,8965,11838
10.54.148.102,756,4984,5740
10.54.148.123,12603,9865,22468
10.54.148.129,919,7257,8176
10.54.148.146,4136,2354,6490
10.54.148.16,546,399,945
10.54.148.176,616,2448,3064
10.54.148.177,2256,1284,3540
10.54.148.186,1071,794,1865
10.54.148.215,35344,14124,49468
10.54.148.217,15081,23514,38595
10.54.148.219,5413,5691,11104
10.54.148.230,1128,642,1770
10.54.148.27,4136,2354,6490
10.54.148.5,1164,642,1806
10.54.148.52,1419,49976,51395
10.54.148.53,2256,1284,3540
10.54.148.55,0,0,0
10.54.148.56,10528,5992,16520
10.54.148.80,6780,8642,15422
10.54.148.91,1525,6682,8207
10.54.148.96,1436,6016,7452
10.54.149.134,200305,660273,860578
10.54.149.200,6101,18963,25064
10.54.149.49,1009,1645,2654
10.54.16.105,5463,15947,21410
10.54.16.110,6723,12675,19398
10.54.16.120,9378,34102,43480
10.54.16.13,6356,16588,22944
10.54.16.138,6343,25901,32244
10.54.16.140,1512,4072,5584
10.54.16.144,449,1655,2104
10.54.16.148,4851,14392,19243
10.54.16.153,2682,8741,11423
10.54.16.156,3450,9482,12932
10.54.16.163,1819,6257,8076
10.54.16.166,1225,2380,3605
10.54.16.168,7690,21676,29366
10.54.16.174,5324,17603,22927
10.54.16.178,11113,37659,48772
10.54.16.18,3594,10098,13692
10.54.16.203,6079,18436,24515
10.54.16.210,2023,6766,8789
10.54.16.225,14959,39775,54734
10.54.16.228,2979,12556,15535
10.54.16.233,27387,56082,83469
10.54.16.241,5808,12275,18083
10.54.16.248,924,2910,3834
10.54.16.86,4782,15948,20730
10.54.16.98,1343,6025,7368
10.54.160.108,3785,15934,19719
10.54.160.116,1928,5665,7593
10.54.160.120,1900,6620,8520
10.54.160.123,1852,7680,9532
10.54.160.126,619903,1421428,2041331
10.54.160.155,173022,320907,493929
10.54.160.171,3743,12638,16381
10.54.160.207,8424,26120,34544
10.54.160.21,836,4370,5206
10.54.160.221,3821,12675,16496
10.54.160.236,2427,6759,9186
10.54.160.27,420,2185,2605
10.54.160.36,5066,15948,21014
10.54.160.59,2544,9871,12415
10.54.160.63,1094,4714,5808
10.54.160.7,375527,1096790,1472317
10.54.160.95,1944,4088,6032
10.54.167.127,183007,156975,339982
10.54.167.142,1200,642,1842
10.54.167.171,884,6761,7645
10.54.167.173,0,0,0
10.54.167.174,1015,1734,2749
10.54.167.223,92722,6639,99361
10.54.167.30,3057,26836,29893
10.54.167.7,1504,856,2360
10.54.167.78,2256,1284,3540
10.54.167.91,1113,14269,15382
10.54.167.98,22560,12840,35400
10.54.17.3,2926,8421,11347
10.54.170.141,1802239,86115126,87917365
10.54.170.191,6326,16475,22801
10.54.170.202,415,2185,2600
10.54.170.228,922,2910,3832
10.54.170.84,128077,428938,557015
10.54.170.92,1449,4558,6007
10.54.171.128,619,507,1126
10.54.171.130,353,451,804
10.54.171.137,432,485,917
10.54.171.166,0,0,0
10.54.171.183,560,3271,3831
10.54.171.208,513,822,1335
10.54.171.249,1128,642,1770
10.54.171.46,1179,506,1685
10.54.171.88,529,788,1317
10.54.174.102,4372,14294,18666
10.54.174.137,2876,7184,10060
10.54.174.160,6213,18589,24802
10.54.174.184,1097,2947,4044
10.54.174.191,15099,37319,52418
10.54.174.192,2446,6406,8852
10.54.174.194,6647,14873,21520
10.54.174.217,1746,5111,6857
10.54.174.229,193862,563351,757213
10.54.174.248,183551,855989,1039540
10.54.174.255,934,1655,2589
10.54.174.43,2984,9130,12114
10.54.174.67,2148,8300,10448
10.54.174.79,1181,2947,4128
10.54.174.89,886,4370,5256
10.54.174.99,1034,2947,3981
10.54.175.14,1278,642,1920
10.54.175.143,164065,6850,170915
10.54.175.156,547,148,695
10.54.175.186,567,459,1026
10.54.175.189,5813,1800,7613
10.54.175.193,9294,11857,21151
10.54.175.206,561,1235,1796
10.54.175.235,566,417,983
10.54.175.31,27648,14552,42200
10.54.175.43,6556,8906,15462
10.54.175.63,1128,428,1556
10.54.175.95,1446,17946,19392
10.54.175.99,3014,6000,9014
10.54.176.108,5304,14949,20253
10.54.176.115,1344,4887,6231
10.54.176.133,1555,3667,5222
10.54.176.146,3490,9679,13169
10.54.176.157,1097,2910,4007
10.54.176.16,3885,10854,14739
10.54.176.199,878,2910,3788
10.54.176.201,9218,30391,39609
10.54.176.224,1500,2947,4447
10.54.176.246,2582,8437,11019
10.54.176.67,1031,2947,3978
10.54.176.69,922,2958,3880
10.54.176.81,1900,6620,8520
10.54.176.93,1095,2947,4042
10.54.176.99,3749,13407,17156
10.54.179.11,1181,2947,4128
10.54.179.220,938,2947,3885
10.54.179.235,2846,4360,7206
10.54.179.37,2424,8442,10866
10.54.179.47,1082,2947,4029
10.54.180.114,1721,4119,5840
10.54.180.128,3123,6526,9649
10.54.180.172,6392,3638,10030
10.54.180.177,0,0,0
10.54.180.179,569,419,988
10.54.180.181,852,428,1280
10.54.180.188,5495,3611,9106
10.54.180.189,385,214,599
10.54.180.193,1927,5146,7073
10.54.180.198,1880,1070,2950
10.54.180.204,432,485,917
10.54.180.220,382,214,596
10.54.180.233,441,7695,8136
10.54.180.241,6032,4132,10164
10.54.180.41,10177,64580,74757
10.54.180.56,13952,20574,34526
10.54.180.83,12915,82963,95878
10.54.180.85,597,843,1440
10.54.181.102,397,214,611
10.54.181.118,1012,7774,8786
10.54.181.134,2872,740,3612
10.54.181.136,7896,4494,12390
10.54.181.141,2182,43648,45830
10.54.181.145,3684,34277,37961
10.54.181.187,10904,6206,17110
10.54.181.188,530,423,953
10.54.181.19,427,485,912
10.54.181.196,666,148,814
10.54.181.199,3324,4281,7605
10.54.181.202,3818181,1071501,4889682
10.54.181.207,238332,2025213,2263545
10.54.181.217,1383,3804,5187
10.54.181.219,324488,285965,610453
10.54.181.221,1828,56879,58707
10.54.181.229,376,214,590
10.54.181.230,752,214,966
10.54.181.241,686,399,1085
10.54.181.242,1556,9948,11504
10.54.181.5,29898,1046468,1076366
10.54.181.67,5350,42019,47369
10.54.181.7,287,367,654
10.54.181.72,496,3027,3523
10.54.181.99,768,428,1196
10.54.185.127,9430,22932,32362
10.54.185.131,5207,15204,20411
10.54.185.174,836,4370,5206
10.54.185.58,7232,25267,32499
10.54.187.133,2626,4893,7519
10.54.187.202,3168,9167,12335
10.54.187.213,4670,5800,10470
10.54.191.131,2756,3464,6220
10.54.191.196,2424,8442,10866
10.54.191.39,3692,12472,16164
10.54.191.56,7336,23819,31155
10.54.191.77,874,2947,3821
10.54.191.93,1896,5857,7753
10.54.194.101,1900,6620,8520
10.54.194.110,2304,8405,10709
10.54.194.129,1626,3091,4717
10.54.194.137,3556,11352,14908
10.54.194.160,6026,18063,24089
10.54.194.187,6608,18393,25001
10.54.194.219,2890,9236,12126
10.54.194.248,4320,10466,14786
10.54.195.243,5091,14072,19163
10.54.197.101,2779,7512,10291
10.54.197.104,2701,9183,11884
10.54.197.129,2354,8437,10791
10.54.197.160,2936,9199,12135
10.54.197.229,3096,9194,12290
10.54.197.246,393957,109399609,109793566
10.54.197.7,2270,8442,10712
10.54.2.3,4740,16282,21022
10.54.20.103,788,946,1734
10.54.20.126,2292,1284,3576
10.54.20.127,1802558,80241,1882799
10.54.20.194,535,399,934
10.54.20.204,586,1235,1821
10.54.20.214,1197,5423,6620
10.54.20.223,874,1937,2811
10.54.20.236,1159,2731,3890
10.54.20.240,127054,5429,132483
10.54.20.246,16935,123366,140301
10.54.20.27,1312,5530,6842
10.54.20.31,98867,5981,104848
10.54.20.50,0,0,0
10.54.20.52,1684,2209,3893
10.54.20.92,2800,1498,4298
10.54.202.17,2584,8442,11026
10.54.202.172,2390,8421,10811
10.54.202.251,2708,8938,11646
10.54.207.111,11656,6634,18290
10.54.207.112,23794,2816,26610
10.54.207.12,1786,4124,5910
10.54.207.120,1080,1010,2090
10.54.207.121,4993,2331,7324
10.54.207.129,1945,3860,5805
10.54.207.136,0,0,0
10.54.207.140,511,399,910
10.54.207.141,1034,1154,2188
10.54.207.150,4311,37941,42252
10.54.207.159,543,438,981
10.54.207.191,376,214,590
10.54.207.200,6079,12233,18312
10.54.207.215,1913,1265,3178
10.54.207.228,524,419,943
10.54.207.252,1740,11445,13185
10.54.207.26,1880,1070,2950
10.54.207.27,2256,1070,3326
10.54.207.68,2966,1671,4637
10.54.207.71,16232,21773,38005
10.54.207.94,2667,1498,4165
10.54.208.118,2632,1498,4130
10.54.208.123,5715,2996,8711
10.54.208.135,682,1291,1973
10.54.208.165,3224,38561,41785
10.54.208.181,1146,428,1574
10.54.208.183,5906,48720,54626
10.54.208.193,5264,2996,8260
10.54.208.208,376,214,590
10.54.208.22,9186,26193,35379
10.54.208.249,0,0,0
10.54.208.4,0,0,0
10.54.208.49,3760,2140,5900
10.54.208.69,4888,2996,7884
10.54.208.81,686,6946,7632
10.54.208.94,769,116,885
10.54.208.95,661,167,828
10.54.21.1,354,485,839
10.54.21.102,376,214,590
10.54.21.127,570,443,1013
10.54.21.129,6494,8562,15056
10.54.21.135,365,499,864
10.54.21.140,426,214,640
10.54.21.143,7721,1645,9366
10.54.21.166,1624,14423,16047
10.54.21.186,752,428,1180
10.54.21.190,644,530,1174
10.54.21.193,589,477,1066
10.54.21.196,752,428,1180
10.54.21.215,584,404,988
10.54.21.233,752,428,1180
10.54.21.245,10050,25274,35324
10.54.21.25,4667,8513,13180
10.54.21.27,1370,232,1602
10.54.21.43,6264,8986,15250
10.54.21.73,1962,4978,6940
10.54.21.80,4620,51429,56049
10.54.21.84,546,419,965
10.54.21.85,521,399,920
10.54.21.95,3176,1498,4674
10.54.213.158,633,508,1141
10.54.213.189,10181,12390,22571
10.54.213.21,309,499,808
10.54.213.250,17408,77133,94541
10.54.213.52,457,334,791
10.54.213.55,316,497,813
10.54.213.63,432,485,917
10.54.213.66,1250,1693,2943
10.54.213.69,566,459,1025
10.54.213.71,20482,27698,48180
10.54.214.1,18884,5135,24019
10.54.216.108,2376,3075,5451
10.54.216.124,36800501,77340243,114140744
10.54.216.161,3682,2338,6020
10.54.216.17,4076,25308,29384
10.54.216.198,3384,1926,5310
10.54.216.206,11959,36329,48288
10.54.216.217,518,485,1003
10.54.216.222,708,4974,5682
10.54.216.227,8855,4280,13135
10.54.216.252,320,4475,4795
10.54.216.42,17495,503842,521337
10.54.216.83,4312,2354,6666
10.54.216.87,0,0,0
10.54.216.95,2831,16417,19248
10.54.22.0,1777,101519,103296
10.54.22.109,1054,884,1938
10.54.22.131,464707,21416,486123
10.54.22.138,7185,3852,11037
10.54.22.155,7473,269171,276644
10.54.22.166,2125,1070,3195
10.54.22.17,2200,12996,15196
10.54.22.184,4986,12775,17761
10.54.22.191,0,0,0
10.54.22.195,580,12388,12968
10.54.22.228,16936,41704,58640
10.54.22.230,2256,1284,3540
10.54.22.231,1479,232,1711
10.54.22.28,752,428,1180
10.54.22.4,9283,13382,22665
10.54.22.7,1860,19042,20902
10.54.22.83,529,443,972
10.54.22.91,17013,15191,32204
10.54.223.113,376,0,376
10.54.223.13,516,843,1359
10.54.223.136,560,1415,1975
10.54.223.139,32376667,125442275,157818942
10.54.223.141,5563,4961,10524
10.54.223.168,22560,9416,31976
10.54.223.179,375,470,845
10.54.223.182,9896,12413,22309
10.54.223.193,547,843,1390
10.54.223.199,7364,44932,52296
10.54.223.206,9871557,1092126278,1101997835
10.54.223.209,594,6744,7338
10.54.223.241,3408,1712,5120
10.54.223.32,2256,1284,3540
10.54.223.52,3074,5103,8177
10.54.223.55,521,419,940
10.54.223.57,2955,4736,7691
10.54.226.189,14164,30710,44874
10.54.226.21,17369,54176,71545
10.54.23.209,7800,15826,23626
10.54.23.251,7347,31993,39340
10.54.23.39,2342,8405,10747
10.54.23.55,3833,2902,6735
10.54.237.114,4503,11578,16081
10.54.237.119,4432,15985,20417
10.54.237.134,7259,14330,21589
10.54.237.139,335263,709627,1044890
10.54.237.164,2085,6239,8324
10.54.237.195,1795,6787,8582
10.54.237.29,1821,4011,5832
10.54.237.41,19677,61363,81040
10.54.237.93,3800,13240,17040
10.54.24.103,3957,3338,7295
10.54.24.105,0,0,0
10.54.24.106,1177,13574,14751
10.54.24.110,25944,14766,40710
10.54.24.126,1951,2876,4827
10.54.24.134,582,1750,2332
10.54.24.137,6562,3638,10200
10.54.24.145,4025,58049,62074
10.54.24.171,116560,66126,182686
10.54.24.202,4626,56483,61109
10.54.24.216,10200,5136,15336
10.54.24.230,9525,5136,14661
10.54.24.244,46198,49386,95584
10.54.24.247,1200,642,1842
10.54.24.29,590,12622,13212
10.54.24.38,1504,642,2146
10.54.24.8,4375,876,5251
10.54.24.9,3467,5690,9157
10.54.24.97,2971,7987,10958
10.54.241.81,18584,26625,45209
10.54.244.10,1540,642,2182
10.54.244.103,5418,6282,11700
10.54.244.109,2610,4075,6685
10.54.244.111,5248,105126,110374
10.54.244.12,4512,1926,6438
10.54.244.120,5824,1026,6850
10.54.244.131,9192,9935,19127
10.54.244.143,867,116,983
10.54.244.148,29328,16692,46020
10.54.244.152,420992,87501,508493
10.54.244.157,92998843,210908410,303907253
10.54.244.160,752,428,1180
10.54.244.165,20748,10914,31662
10.54.244.169,4136,2354,6490
10.54.244.177,1602,1660,3262
10.54.244.18,1128,642,1770
10.54.244.183,1789446,64650463,66439909
10.54.244.19,752,642,1394
10.54.244.194,95845,75191,171036
10.54.244.195,1053,232,1285
10.54.244.222,7144,4066,11210
10.54.244.232,556,462,1018
10.54.244.247,182773,26704,209477
10.54.244.252,1910,856,2766
10.54.244.50,1323,5697,7020
10.54.244.53,1277,2016,3293
10.54.244.55,3690,842,4532
10.54.244.70,2910,64402,67312
10.54.244.71,4224,2354,6578
10.54.245.100,415,2185,2600
10.54.245.104,1193,2963,4156
10.54.245.11,1900,6620,8520
10.54.245.124,819,2851,3670
10.54.245.133,2714,9824,12538
10.54.245.165,9692,40784,50476
10.54.245.19,5245,15319,20564
10.54.245.250,3254,9824,13078
10.54.245.253,6785,17666,24451
10.54.245.5,3610,18870,22480
10.54.245.63,4801,23673,28474
10.54.245.66,6041,18328,24369
10.54.245.97,2286,8442,10728
10.54.245.99,934,3310,4244
10.54.246.209,1900,6620,8520
10.54.246.241,1840,6428,8268
10.54.246.56,2865,8807,11672
10.54.246.62,4637,14888,19525
10.54.246.8,4826,16550,21376
10.54.246.87,8154,32493,40647
10.54.247.0,7713,27314,35027
10.54.250.100,746,2851,3597
10.54.250.139,1377589,5655299,7032888
10.54.250.145,3265,10453,13718
10.54.250.149,3499,10490,13989
10.54.250.207,6894,27277,34171
10.54.250.208,7418,26055,33473
10.54.250.210,946,3310,4256
10.54.250.219,7086,27351,34437
10.54.250.222,7296,19938,27234
10.54.250.23,6778,21648,28426
10.54.250.255,2679,5037,7716
10.54.250.35,19706,64232,83938
10.54.250.36,452,1648,2100
10.54.250.47,1726,2902,4628
10.54.250.49,5589,12675,18264
10.54.250.7,3777,12638,16415
10.54.250.74,4939,10490,15429
10.54.250.76,6760,25045,31805
10.54.250.82,5482,17799,23281
10.54.250.97,16219,59626,75845
10.54.251.114,41573847,147274774,188848621
10.54.251.118,1630,21833,23463
10.54.251.127,5760,3210,8970
10.54.251.143,0,0,0
10.54.251.150,1200,428,1628
10.54.251.19,814,4972,5786
10.54.251.200,19785,67670,87455
10.54.251.212,22273496,495532228,517805724
10.54.251.214,752,428,1180
10.54.251.215,0,0,0
10.54.251.228,437,485,922
10.54.251.24,3651,8915,12566
10.54.251.242,10367,10198,20565
10.54.251.33,1206,8562,9768
10.54.251.72,12120,21601,33721
10.54.251.81,748,148,896
10.54.252.133,1900,6561,8461
10.54.252.134,19585,46979,66564
10.54.252.137,5146,13922,19068
10.54.252.143,2446,8437,10883
10.54.252.145,9189,30257,39446
10.54.252.155,2398,8442,10840
10.54.252.162,2836,9162,11998
10.54.252.165,1319,2947,4266
10.54.252.183,3778,7323,11101
10.54.252.194,6365,15001,21366
10.54.252.214,6316,28612,34928
10.54.252.218,2734,9130,11864
10.54.252.219,2920,5894,8814
10.54.252.22,1085,2942,4027
10.54.252.220,2176,7928,10104
10.54.252.236,2302,8442,10744
10.54.252.253,1002,2947,3949
10.54.252.31,3808,13370,17178
10.54.252.36,4669,14260,18929
10.54.252.54,2965,10113,13078
10.54.252.80,2494,8421,10915
10.54.252.83,1018,5073,6091
10.54.253.117,517,485,1002
10.54.253.12,288,2100,2388
10.54.253.120,0,0,0
10.54.253.140,3384,1712,5096
10.54.253.145,16544,9416,25960
10.54.253.16,19327,17619,36946
10.54.253.170,752,428,1180
10.54.253.2,1053,2185,3238
10.54.253.205,592,1401,1993
10.54.253.224,816,1978,2794
10.54.253.228,5359,1948,7307
10.54.253.23,275469,593687,869156
10.54.253.230,292,2014,2306
10.54.253.239,0,0,0
10.54.253.248,6768,3852,10620
10.54.253.253,137874,91323,229197
10.54.253.255,6578,97732,104310
10.54.253.44,1188,116,1304
10.54.254.114,6016,3424,9440
10.54.254.115,2465,4177,6642
10.54.254.143,583,399,982
10.54.254.163,0,0,0
10.54.254.165,11656,6634,18290
10.54.254.195,3404,826,4230
10.54.254.202,36287398,391953888,428241286
10.54.254.211,3880,1926,5806
10.54.254.213,4731,6773,11504
10.54.254.221,6619,66212,72831
10.54.254.229,10904,6206,17110
10.54.254.241,872,1933,2805
10.54.254.28,1630,13263,14893
10.54.254.51,4630,46257,50887
10.54.254.69,6494,3424,9918
10.54.254.73,1350,2573,3923
10.54.254.94,657,441,1098
10.54.26.179,5666,16747,22413
10.54.26.212,1895,6803,8698
10.54.27.106,177301,4402284,4579585
