,day_time,uplink_length,downlink_length,sum_flow
0,11_23,8419,6060,14479
1,12_0,73788,42201,115989
2,12_1,91358,56439,147797
3,12_10,318252,373243,691495
4,12_11,422664,456183,878847
5,12_12,309827,410586,720413
6,12_13,437423,559549,996972
7,12_14,445777,632041,1077818
8,12_15,426757,497290,924047
9,12_16,508091,2276500,2784591
10,12_17,536166,1460077,1996243
11,12_18,473050,977398,1450448
12,12_19,212068,255399,467467
13,12_2,42224,32964,75188
14,12_20,148427,188496,336923
15,12_21,60135,37922,98057
16,12_22,78918,55880,134798
17,12_23,33658,17856,51514
18,12_3,84144,120359,204503
19,12_4,58632,39313,97945
20,12_5,43613,42729,86342
21,12_6,53595,85796,139391
22,12_7,25920,110679,136599
23,12_8,56313,1833814,1890127
24,12_9,467265,604429,1071694
25,13_0,55720,126767,182487
26,13_1,32604,98228,130832
27,13_10,109927,95955,205882
28,13_11,110507,88134,198641
29,13_12,136072,112869,248941
30,13_13,150690,86936,237626
31,13_14,124983,173118,298101
32,13_15,120514,98619,219133
33,13_16,95605,87369,182974
34,13_17,145804,183277,329081
35,13_18,109634,169928,279562
36,13_19,94977,65331,160308
37,13_2,35060,97280,132340
38,13_20,69028,140058,209086
39,13_21,86377,101183,187560
40,13_22,79670,65213,144883
41,13_23,96166,70350,166516
42,13_3,29873,29844,59717
43,13_4,33437,30413,63850
44,13_5,64453,48967,113420
45,13_6,42041,42550,84591
46,13_7,48992,28657,77649
47,13_8,49569,45029,94598
48,13_9,129599,101257,230856
49,14_0,61074,45789,106863
50,14_1,48627,117576,166203
51,14_10,68070,45762,113832
52,14_11,78523,128288,206811
53,14_12,54812,58842,113654
54,14_13,60514,46740,107254
55,14_14,88794,95551,184345
56,14_15,46911,42808,89719
57,14_16,62481,41594,104075
58,14_17,60742,47122,107864
59,14_18,63355,37233,100588
60,14_19,60442,59498,119940
61,14_2,78881,69907,148788
62,14_20,57387,51221,108608
63,14_21,51028,32885,83913
64,14_22,41852,38233,80085
65,14_23,71896,51469,123365
66,14_3,47614,34380,81994
67,14_4,31373,26739,58112
68,14_5,20784,10725,31509
69,14_6,21732,16820,38552
70,14_7,29350,32448,61798
71,14_8,42596,31394,73990
72,14_9,83500,264022,347522
73,15_0,30961,25607,56568
74,15_1,59174,39713,98887
75,15_10,339019,261575,600594
76,15_11,372274,260614,632888
77,15_12,314174,232745,546919
78,15_13,434410,299025,733435
79,15_14,323118,432310,755428
80,15_15,369649,274990,644639
81,15_16,346859,339007,685866
82,15_17,431715,1615283,2046998
83,15_18,342732,329135,671867
84,15_19,268816,236102,504918
85,15_2,65985,50301,116286
86,15_20,158204,119737,277941
87,15_21,126218,182827,309045
88,15_22,116046,108157,224203
89,15_23,74843,63375,138218
90,15_3,56212,41909,98121
91,15_4,58922,108090,167012
92,15_5,48976,39563,88539
93,15_6,45949,37543,83492
94,15_7,48574,52463,101037
95,15_8,61006,53326,114332
96,15_9,468619,777154,1245773
97,16_0,70355,47853,118208
98,16_1,36811,19632,56443
99,16_10,368408,416934,785342
100,16_11,462426,465524,927950
101,16_12,356641,357031,713672
102,16_13,338087,409576,747663
103,16_14,438036,528482,966518
104,16_15,453757,526583,980340
105,16_16,426743,552501,979244
106,16_17,447332,1188013,1635345
107,16_18,465045,653861,1118906
108,16_19,357312,630150,987462
109,16_2,66274,254968,321242
110,16_20,217616,179574,397190
111,16_21,151797,120167,271964
112,16_22,124863,92009,216872
113,16_23,88651,200098,288749
114,16_3,43557,26191,69748
115,16_4,46242,37502,83744
116,16_5,52981,118053,171034
117,16_6,43987,21368,65355
118,16_7,58700,53865,112565
119,16_8,52147,57268,109415
120,16_9,479611,898010,1377621
121,17_0,122050,111770,233820
122,17_1,114677,75298,189975
123,17_10,343696,765851,1109547
124,17_11,375044,575375,950419
125,17_12,360415,600887,961302
126,17_13,438129,597027,1035156
127,17_14,439584,655233,1094817
128,17_15,446775,644245,1091020
129,17_16,620686,898506,1519192
130,17_17,486518,1010036,1496554
131,17_18,411085,658827,1069912
132,17_19,266654,2077974,2344628
133,17_2,88432,217998,306430
134,17_20,178645,208206,386851
135,17_21,171844,249698,421542
136,17_22,206753,336965,543718
137,17_23,142712,97565,240277
138,17_3,102211,139098,241309
139,17_4,57683,38203,95886
140,17_5,71022,56685,127707
141,17_6,51456,36225,87681
142,17_7,93821,67394,161215
143,17_8,128951,195423,324374
144,17_9,518105,1000316,1518421
145,18_0,115173,118800,233973
146,18_1,102017,249429,351446
147,18_10,431895,2231484,2663379
148,18_11,384303,288619,672922
149,18_12,312929,433832,746761
150,18_13,374507,285463,659970
151,18_14,414516,312066,726582
152,18_15,371931,379935,751866
153,18_16,373324,443887,817211
154,18_17,494082,1188164,1682246
155,18_18,455874,566898,1022772
156,18_19,236468,204446,440914
157,18_2,65288,117491,182779
158,18_20,175958,603330,779288
159,18_21,107382,74848,182230
160,18_22,56733,51025,107758
161,18_23,56812,58738,115550
162,18_3,45283,185067,230350
163,18_4,50830,50348,101178
164,18_5,45954,33474,79428
165,18_6,66109,49669,115778
166,18_7,93832,84700,178532
167,18_8,104809,221705,326514
168,18_9,592338,809969,1402307
169,11-0,0,0,0
170,11-1,0,0,0
171,11-2,0,0,0
172,11-3,0,0,0
173,11-4,0,0,0
174,11-5,0,0,0
175,11-6,0,0,0
176,11-7,0,0,0
177,11-8,0,0,0
178,11-9,0,0,0
179,11-10,0,0,0
180,11-11,0,0,0
181,11-12,0,0,0
182,11-13,0,0,0
183,11-14,0,0,0
184,11-15,0,0,0
185,11-16,0,0,0
186,11-17,0,0,0
187,11-18,0,0,0
188,11-19,0,0,0
189,11-20,0,0,0
190,11-21,0,0,0
191,11-22,0,0,0
192,11-23,0,0,0
193,12-0,0,0,0
194,12-1,0,0,0
195,12-2,0,0,0
196,12-3,0,0,0
197,12-4,0,0,0
198,12-5,0,0,0
199,12-6,0,0,0
200,12-7,0,0,0
201,12-8,0,0,0
202,12-9,0,0,0
203,12-10,0,0,0
204,12-11,0,0,0
205,12-12,0,0,0
206,12-13,0,0,0
207,12-14,0,0,0
208,12-15,0,0,0
209,12-16,0,0,0
210,12-17,0,0,0
211,12-18,0,0,0
212,12-19,0,0,0
213,12-20,0,0,0
214,12-21,0,0,0
215,12-22,0,0,0
216,12-23,0,0,0
217,13-0,0,0,0
218,13-1,0,0,0
219,13-2,0,0,0
220,13-3,0,0,0
221,13-4,0,0,0
222,13-5,0,0,0
223,13-6,0,0,0
224,13-7,0,0,0
225,13-8,0,0,0
226,13-9,0,0,0
227,13-10,0,0,0
228,13-11,0,0,0
229,13-12,0,0,0
230,13-13,0,0,0
231,13-14,0,0,0
232,13-15,0,0,0
233,13-16,0,0,0
234,13-17,0,0,0
235,13-18,0,0,0
236,13-19,0,0,0
237,13-20,0,0,0
238,13-21,0,0,0
239,13-22,0,0,0
240,13-23,0,0,0
241,14-0,0,0,0
242,14-1,0,0,0
243,14-2,0,0,0
244,14-3,0,0,0
245,14-4,0,0,0
246,14-5,0,0,0
247,14-6,0,0,0
248,14-7,0,0,0
249,14-8,0,0,0
250,14-9,0,0,0
251,14-10,0,0,0
252,14-11,0,0,0
253,14-12,0,0,0
254,14-13,0,0,0
255,14-14,0,0,0
256,14-15,0,0,0
257,14-16,0,0,0
258,14-17,0,0,0
259,14-18,0,0,0
260,14-19,0,0,0
261,14-20,0,0,0
262,14-21,0,0,0
263,14-22,0,0,0
264,14-23,0,0,0
265,15-0,0,0,0
266,15-1,0,0,0
267,15-2,0,0,0
268,15-3,0,0,0
269,15-4,0,0,0
270,15-5,0,0,0
271,15-6,0,0,0
272,15-7,0,0,0
273,15-8,0,0,0
274,15-9,0,0,0
275,15-10,0,0,0
276,15-11,0,0,0
277,15-12,0,0,0
278,15-13,0,0,0
279,15-14,0,0,0
280,15-15,0,0,0
281,15-16,0,0,0
282,15-17,0,0,0
283,15-18,0,0,0
284,15-19,0,0,0
285,15-20,0,0,0
286,15-21,0,0,0
287,15-22,0,0,0
288,15-23,0,0,0
289,16-0,0,0,0
290,16-1,0,0,0
291,16-2,0,0,0
292,16-3,0,0,0
293,16-4,0,0,0
294,16-5,0,0,0
295,16-6,0,0,0
296,16-7,0,0,0
297,16-8,0,0,0
298,16-9,0,0,0
299,16-10,0,0,0
300,16-11,0,0,0
301,16-12,0,0,0
302,16-13,0,0,0
303,16-14,0,0,0
304,16-15,0,0,0
305,16-16,0,0,0
306,16-17,0,0,0
307,16-18,0,0,0
308,16-19,0,0,0
309,16-20,0,0,0
310,16-21,0,0,0
311,16-22,0,0,0
312,16-23,0,0,0
313,17-0,0,0,0
314,17-1,0,0,0
315,17-2,0,0,0
316,17-3,0,0,0
317,17-4,0,0,0
318,17-5,0,0,0
319,17-6,0,0,0
320,17-7,0,0,0
321,17-8,0,0,0
322,17-9,0,0,0
323,17-10,0,0,0
324,17-11,0,0,0
325,17-12,0,0,0
326,17-13,0,0,0
327,17-14,0,0,0
328,17-15,0,0,0
329,17-16,0,0,0
330,17-17,0,0,0
331,17-18,0,0,0
332,17-19,0,0,0
333,17-20,0,0,0
334,17-21,0,0,0
335,17-22,0,0,0
336,17-23,0,0,0
337,18-0,0,0,0
338,18-1,0,0,0
339,18-2,0,0,0
340,18-3,0,0,0
341,18-4,0,0,0
342,18-5,0,0,0
343,18-6,0,0,0
344,18-7,0,0,0
345,18-8,0,0,0
346,18-9,0,0,0
347,18-10,0,0,0
348,18-11,0,0,0
349,18-12,0,0,0
350,18-13,0,0,0
351,18-14,0,0,0
352,18-15,0,0,0
353,18-16,0,0,0
354,18-17,0,0,0
355,18-18,0,0,0
356,18-19,0,0,0
357,18-20,0,0,0
358,18-21,0,0,0
359,18-22,0,0,0
360,18-23,0,0,0
