,day_time,uplink_length,downlink_length,sum_flow
0,12_10,1760,2427,4187
1,12_11,2997,3641,6638
2,12_13,2993,3573,6566
3,12_14,1007,1205,2212
4,12_17,999,1188,2187
5,12_18,1988,2435,4423
6,12_19,985,1235,2220
7,12_4,987,1240,2227
8,12_9,1015,1225,2240
9,14_3,44,247,291
10,15_10,1974,2335,4309
11,15_11,983,1230,2213
12,15_12,1990,2469,4459
13,15_14,979,1219,2198
14,15_15,991,1191,2182
15,15_17,1003,1196,2199
16,15_18,3968,4760,8728
17,15_20,1001,1192,2193
18,15_9,983,1165,2148
19,16_17,2002,2384,4386
20,17_11,987,1240,2227
21,17_12,1976,2425,4401
22,17_13,83,94,177
23,17_14,1007,1205,2212
24,17_16,987,1240,2227
25,17_18,1007,1205,2212
26,18_10,987,1240,2227
27,18_14,2004,2388,4392
28,18_16,1990,2436,4426
29,18_19,987,1240,2227
30,18_9,997,1184,2181
31,11-0,0,0,0
32,11-1,0,0,0
33,11-2,0,0,0
34,11-3,0,0,0
35,11-4,0,0,0
36,11-5,0,0,0
37,11-6,0,0,0
38,11-7,0,0,0
39,11-8,0,0,0
40,11-9,0,0,0
41,11-10,0,0,0
42,11-11,0,0,0
43,11-12,0,0,0
44,11-13,0,0,0
45,11-14,0,0,0
46,11-15,0,0,0
47,11-16,0,0,0
48,11-17,0,0,0
49,11-18,0,0,0
50,11-19,0,0,0
51,11-20,0,0,0
52,11-21,0,0,0
53,11-22,0,0,0
54,11-23,0,0,0
55,12-0,0,0,0
56,12-1,0,0,0
57,12-2,0,0,0
58,12-3,0,0,0
59,12-4,0,0,0
60,12-5,0,0,0
61,12-6,0,0,0
62,12-7,0,0,0
63,12-8,0,0,0
64,12-9,0,0,0
65,12-10,0,0,0
66,12-11,0,0,0
67,12-12,0,0,0
68,12-13,0,0,0
69,12-14,0,0,0
70,12-15,0,0,0
71,12-16,0,0,0
72,12-17,0,0,0
73,12-18,0,0,0
74,12-19,0,0,0
75,12-20,0,0,0
76,12-21,0,0,0
77,12-22,0,0,0
78,12-23,0,0,0
79,13-0,0,0,0
80,13-1,0,0,0
81,13-2,0,0,0
82,13-3,0,0,0
83,13-4,0,0,0
84,13-5,0,0,0
85,13-6,0,0,0
86,13-7,0,0,0
87,13-8,0,0,0
88,13-9,0,0,0
89,13-10,0,0,0
90,13-11,0,0,0
91,13-12,0,0,0
92,13-13,0,0,0
93,13-14,0,0,0
94,13-15,0,0,0
95,13-16,0,0,0
96,13-17,0,0,0
97,13-18,0,0,0
98,13-19,0,0,0
99,13-20,0,0,0
100,13-21,0,0,0
101,13-22,0,0,0
102,13-23,0,0,0
103,14-0,0,0,0
104,14-1,0,0,0
105,14-2,0,0,0
106,14-3,0,0,0
107,14-4,0,0,0
108,14-5,0,0,0
109,14-6,0,0,0
110,14-7,0,0,0
111,14-8,0,0,0
112,14-9,0,0,0
113,14-10,0,0,0
114,14-11,0,0,0
115,14-12,0,0,0
116,14-13,0,0,0
117,14-14,0,0,0
118,14-15,0,0,0
119,14-16,0,0,0
120,14-17,0,0,0
121,14-18,0,0,0
122,14-19,0,0,0
123,14-20,0,0,0
124,14-21,0,0,0
125,14-22,0,0,0
126,14-23,0,0,0
127,15-0,0,0,0
128,15-1,0,0,0
129,15-2,0,0,0
130,15-3,0,0,0
131,15-4,0,0,0
132,15-5,0,0,0
133,15-6,0,0,0
134,15-7,0,0,0
135,15-8,0,0,0
136,15-9,0,0,0
137,15-10,0,0,0
138,15-11,0,0,0
139,15-12,0,0,0
140,15-13,0,0,0
141,15-14,0,0,0
142,15-15,0,0,0
143,15-16,0,0,0
144,15-17,0,0,0
145,15-18,0,0,0
146,15-19,0,0,0
147,15-20,0,0,0
148,15-21,0,0,0
149,15-22,0,0,0
150,15-23,0,0,0
151,16-0,0,0,0
152,16-1,0,0,0
153,16-2,0,0,0
154,16-3,0,0,0
155,16-4,0,0,0
156,16-5,0,0,0
157,16-6,0,0,0
158,16-7,0,0,0
159,16-8,0,0,0
160,16-9,0,0,0
161,16-10,0,0,0
162,16-11,0,0,0
163,16-12,0,0,0
164,16-13,0,0,0
165,16-14,0,0,0
166,16-15,0,0,0
167,16-16,0,0,0
168,16-17,0,0,0
169,16-18,0,0,0
170,16-19,0,0,0
171,16-20,0,0,0
172,16-21,0,0,0
173,16-22,0,0,0
174,16-23,0,0,0
175,17-0,0,0,0
176,17-1,0,0,0
177,17-2,0,0,0
178,17-3,0,0,0
179,17-4,0,0,0
180,17-5,0,0,0
181,17-6,0,0,0
182,17-7,0,0,0
183,17-8,0,0,0
184,17-9,0,0,0
185,17-10,0,0,0
186,17-11,0,0,0
187,17-12,0,0,0
188,17-13,0,0,0
189,17-14,0,0,0
190,17-15,0,0,0
191,17-16,0,0,0
192,17-17,0,0,0
193,17-18,0,0,0
194,17-19,0,0,0
195,17-20,0,0,0
196,17-21,0,0,0
197,17-22,0,0,0
198,17-23,0,0,0
199,18-0,0,0,0
200,18-1,0,0,0
201,18-2,0,0,0
202,18-3,0,0,0
203,18-4,0,0,0
204,18-5,0,0,0
205,18-6,0,0,0
206,18-7,0,0,0
207,18-8,0,0,0
208,18-9,0,0,0
209,18-10,0,0,0
210,18-11,0,0,0
211,18-12,0,0,0
212,18-13,0,0,0
213,18-14,0,0,0
214,18-15,0,0,0
215,18-16,0,0,0
216,18-17,0,0,0
217,18-18,0,0,0
218,18-19,0,0,0
219,18-20,0,0,0
220,18-21,0,0,0
221,18-22,0,0,0
222,18-23,0,0,0
