,day_time,uplink_length,downlink_length,sum_flow
0,11_23,377,4506,4883
1,12_0,26477187,193147,26670334
2,12_1,2620,59397,62017
3,12_10,697,4736,5433
4,12_11,9856,75314,85170
5,12_12,841,16520,17361
6,12_13,999,55793,56792
7,12_14,4269,56569,60838
8,12_15,1130,51512,52642
9,12_16,45255692,67267,45322959
10,12_17,2042,53096,55138
11,12_18,1724,49490,51214
12,12_19,55695439,56007,55751446
13,12_2,1307,65636,66943
14,12_20,1440,33172,34612
15,12_21,103280,2173370018,2173473298
16,12_22,1731,33418,35149
17,12_23,933,38973,39906
18,12_3,1005,72129,73134
19,12_4,27636988,301605,27938593
20,12_5,807,72040,72847
21,12_6,726,59923,60649
22,12_7,830,28182,29012
23,12_8,863,35894,36757
24,12_9,72178676,19187,72197863
25,13_0,29269011,24672,29293683
26,13_1,1159,35509,36668
27,13_10,1202,27623,28825
28,13_11,1318,30822,32140
29,13_12,284,33152,33436
30,13_13,3478084,42801,3520885
31,13_14,8216750,80978,8297728
32,13_15,964,44520,45484
33,13_16,39263373,39920,39303293
34,13_17,472,32512,32984
35,13_18,471,21663,22134
36,13_19,683,31757,32440
37,13_2,431,19257,19688
38,13_20,493,26460,26953
39,13_21,324,33725,34049
40,13_22,668,16282,16950
41,13_23,978,17755,18733
42,13_3,801,41660,42461
43,13_4,694,58408,59102
44,13_5,15665824,106789,15772613
45,13_6,882,44864,45746
46,13_7,1313,39109,40422
47,13_8,350,34548,34898
48,13_9,37062919,26197,37089116
49,14_0,153,15510,15663
50,14_1,1424,33075,34499
51,14_10,1026,13631,14657
52,14_11,641,15176,15817
53,14_12,753,14867,15620
54,14_13,206,23737,23943
55,14_14,2519,46351,48870
56,14_15,2726,35616,38342
57,14_16,899,33838,34737
58,14_17,105,8965,9070
59,14_18,212,25241,25453
60,14_19,1680,27528,29208
61,14_2,1616,39811,41427
62,14_20,497,18213,18710
63,14_21,42712889,22789,42735678
64,14_22,151,14315,14466
65,14_23,198,25175,25373
66,14_3,642,54476,55118
67,14_4,660,39828,40488
68,14_5,18015797,59911,18075708
69,14_6,16892203,249991,17142194
70,14_7,1964,62010,63974
71,14_8,623,21823,22446
72,14_9,284,34590,34874
73,15_0,228,22840,23068
74,15_1,35237387,293307,35530694
75,15_10,975,22513,23488
76,15_11,428,15756,16184
77,15_12,57030414,38105,57068519
78,15_13,2527,49190,51717
79,15_14,338,37697,38035
80,15_15,1139,33044,34183
81,15_16,7537839,43680,7581519
82,15_17,1615,39591,41206
83,15_18,276,23003,23279
84,15_19,1890,54240,56130
85,15_2,1043,60310,61353
86,15_20,1125,51095,52220
87,15_21,4038475,1065477,5103952
88,15_22,1742,50431,52173
89,15_23,1600,42220,43820
90,15_3,34285784,45000,34330784
91,15_4,364,39414,39778
92,15_5,603,24018,24621
93,15_6,1054,41966,43020
94,15_7,224,26389,26613
95,15_8,291,17872,18163
96,15_9,5615914,22602,5638516
97,16_0,1512,47490,49002
98,16_1,18010765,44855,18055620
99,16_10,2115,36731,38846
100,16_11,3670,214767,218437
101,16_12,1101,33760,34861
102,16_13,239,24356,24595
103,16_14,1907,71154,73061
104,16_15,781,123913,124694
105,16_16,10143822,58440,10202262
106,16_17,613,22882,23495
107,16_18,2425,79021,81446
108,16_19,113615094,94677,113709771
109,16_2,1320,58884,60204
110,16_20,1183,55617,56800
111,16_21,651,32507,33158
112,16_22,1898,4603255,4605153
113,16_23,10451216,32711,10483927
114,16_3,696,20088,20784
115,16_4,251,23937,24188
116,16_5,1206,33349,34555
117,16_6,445,20688,21133
118,16_7,760713,220685,981398
119,16_8,1244,28291,29535
120,16_9,783,16707,17490
121,17_0,1774,44988,46762
122,17_1,4603409,2666459,7269868
123,17_10,2115,33599,35714
124,17_11,951,19972,20923
125,17_12,15523822,56567,15580389
126,17_13,931,22330,23261
127,17_14,2578,80359,82937
128,17_15,2087,57083,59170
129,17_16,123031,49623,172654
130,17_17,1463,56356,57819
131,17_18,2024,180319,182343
132,17_19,1108,73918,75026
133,17_2,1806,66725,68531
134,17_20,1558,27259,28817
135,17_21,643,42501,43144
136,17_22,260,14106,14366
137,17_23,475,26465,26940
138,17_3,341,32569,32910
139,17_4,928,37418,38346
140,17_5,432,50473,50905
141,17_6,1113,41724,42837
142,17_7,1078,36811,37889
143,17_8,1241,32725,33966
144,17_9,1745,51084,52829
145,18_0,328,37091,37419
146,18_1,39005386,35027,39040413
147,18_10,1919,47860,49779
148,18_11,1762,27771,29533
149,18_12,1883,36110,37993
150,18_13,1241,38773,40014
151,18_14,3073,55597,58670
152,18_15,4970945,158840,5129785
153,18_16,2511,47479,49990
154,18_17,1042,24573,25615
155,18_18,748,46717,47465
156,18_19,2039,99783,101822
157,18_2,122381,3346185,3468566
158,18_20,460,28378,28838
159,18_21,18313483,92786,18406269
160,18_22,205,24511,24716
161,18_23,155,4559,4714
162,18_3,27570877,61757,27632634
163,18_4,1218,40785,42003
164,18_5,402,45342,45744
165,18_6,732,45349,46081
166,18_7,52559009,29096,52588105
167,18_8,12617370,259946,12877316
168,18_9,44082746,29169,44111915
169,11-0,0,0,0
170,11-1,0,0,0
171,11-2,0,0,0
172,11-3,0,0,0
173,11-4,0,0,0
174,11-5,0,0,0
175,11-6,0,0,0
176,11-7,0,0,0
177,11-8,0,0,0
178,11-9,0,0,0
179,11-10,0,0,0
180,11-11,0,0,0
181,11-12,0,0,0
182,11-13,0,0,0
183,11-14,0,0,0
184,11-15,0,0,0
185,11-16,0,0,0
186,11-17,0,0,0
187,11-18,0,0,0
188,11-19,0,0,0
189,11-20,0,0,0
190,11-21,0,0,0
191,11-22,0,0,0
192,11-23,0,0,0
193,12-0,0,0,0
194,12-1,0,0,0
195,12-2,0,0,0
196,12-3,0,0,0
197,12-4,0,0,0
198,12-5,0,0,0
199,12-6,0,0,0
200,12-7,0,0,0
201,12-8,0,0,0
202,12-9,0,0,0
203,12-10,0,0,0
204,12-11,0,0,0
205,12-12,0,0,0
206,12-13,0,0,0
207,12-14,0,0,0
208,12-15,0,0,0
209,12-16,0,0,0
210,12-17,0,0,0
211,12-18,0,0,0
212,12-19,0,0,0
213,12-20,0,0,0
214,12-21,0,0,0
215,12-22,0,0,0
216,12-23,0,0,0
217,13-0,0,0,0
218,13-1,0,0,0
219,13-2,0,0,0
220,13-3,0,0,0
221,13-4,0,0,0
222,13-5,0,0,0
223,13-6,0,0,0
224,13-7,0,0,0
225,13-8,0,0,0
226,13-9,0,0,0
227,13-10,0,0,0
228,13-11,0,0,0
229,13-12,0,0,0
230,13-13,0,0,0
231,13-14,0,0,0
232,13-15,0,0,0
233,13-16,0,0,0
234,13-17,0,0,0
235,13-18,0,0,0
236,13-19,0,0,0
237,13-20,0,0,0
238,13-21,0,0,0
239,13-22,0,0,0
240,13-23,0,0,0
241,14-0,0,0,0
242,14-1,0,0,0
243,14-2,0,0,0
244,14-3,0,0,0
245,14-4,0,0,0
246,14-5,0,0,0
247,14-6,0,0,0
248,14-7,0,0,0
249,14-8,0,0,0
250,14-9,0,0,0
251,14-10,0,0,0
252,14-11,0,0,0
253,14-12,0,0,0
254,14-13,0,0,0
255,14-14,0,0,0
256,14-15,0,0,0
257,14-16,0,0,0
258,14-17,0,0,0
259,14-18,0,0,0
260,14-19,0,0,0
261,14-20,0,0,0
262,14-21,0,0,0
263,14-22,0,0,0
264,14-23,0,0,0
265,15-0,0,0,0
266,15-1,0,0,0
267,15-2,0,0,0
268,15-3,0,0,0
269,15-4,0,0,0
270,15-5,0,0,0
271,15-6,0,0,0
272,15-7,0,0,0
273,15-8,0,0,0
274,15-9,0,0,0
275,15-10,0,0,0
276,15-11,0,0,0
277,15-12,0,0,0
278,15-13,0,0,0
279,15-14,0,0,0
280,15-15,0,0,0
281,15-16,0,0,0
282,15-17,0,0,0
283,15-18,0,0,0
284,15-19,0,0,0
285,15-20,0,0,0
286,15-21,0,0,0
287,15-22,0,0,0
288,15-23,0,0,0
289,16-0,0,0,0
290,16-1,0,0,0
291,16-2,0,0,0
292,16-3,0,0,0
293,16-4,0,0,0
294,16-5,0,0,0
295,16-6,0,0,0
296,16-7,0,0,0
297,16-8,0,0,0
298,16-9,0,0,0
299,16-10,0,0,0
300,16-11,0,0,0
301,16-12,0,0,0
302,16-13,0,0,0
303,16-14,0,0,0
304,16-15,0,0,0
305,16-16,0,0,0
306,16-17,0,0,0
307,16-18,0,0,0
308,16-19,0,0,0
309,16-20,0,0,0
310,16-21,0,0,0
311,16-22,0,0,0
312,16-23,0,0,0
313,17-0,0,0,0
314,17-1,0,0,0
315,17-2,0,0,0
316,17-3,0,0,0
317,17-4,0,0,0
318,17-5,0,0,0
319,17-6,0,0,0
320,17-7,0,0,0
321,17-8,0,0,0
322,17-9,0,0,0
323,17-10,0,0,0
324,17-11,0,0,0
325,17-12,0,0,0
326,17-13,0,0,0
327,17-14,0,0,0
328,17-15,0,0,0
329,17-16,0,0,0
330,17-17,0,0,0
331,17-18,0,0,0
332,17-19,0,0,0
333,17-20,0,0,0
334,17-21,0,0,0
335,17-22,0,0,0
336,17-23,0,0,0
337,18-0,0,0,0
338,18-1,0,0,0
339,18-2,0,0,0
340,18-3,0,0,0
341,18-4,0,0,0
342,18-5,0,0,0
343,18-6,0,0,0
344,18-7,0,0,0
345,18-8,0,0,0
346,18-9,0,0,0
347,18-10,0,0,0
348,18-11,0,0,0
349,18-12,0,0,0
350,18-13,0,0,0
351,18-14,0,0,0
352,18-15,0,0,0
353,18-16,0,0,0
354,18-17,0,0,0
355,18-18,0,0,0
356,18-19,0,0,0
357,18-20,0,0,0
358,18-21,0,0,0
359,18-22,0,0,0
360,18-23,0,0,0
