,day_time,uplink_length,downlink_length,sum_flow
0,11_23,4425,1701,6126
1,12_0,37442,15177,52619
2,12_1,28743,14263,43006
3,12_10,231753,100817,332570
4,12_11,188495,79920,268415
5,12_12,198407,88185,286592
6,12_13,247933,198827,446760
7,12_14,205687,90389,296076
8,12_15,207209,93300,300509
9,12_16,221589,98480,320069
10,12_17,199884,88318,288202
11,12_18,233957,2601111,2835068
12,12_19,125388,2272534,2397922
13,12_2,32839,14605,47444
14,12_20,93133,41264,134397
15,12_21,39442,17112,56554
16,12_3,38570,20294,58864
17,12_4,37981,14939,52920
18,12_5,25135,11454,36589
19,12_6,46642,18779,65421
20,12_7,44491,17099,61590
21,12_8,46777,19925,66702
22,12_9,82963,45123,128086
23,14_13,4471,4588,9059
24,14_19,14209,15460,29669
25,14_22,4796,4822,9618
26,15_10,779644,1405362,2185006
27,15_11,160217,72218,232435
28,15_12,166231,982622,1148853
29,15_13,194956,415714,610670
30,15_14,169880,75236,245116
31,15_15,169456,122340,291796
32,15_16,125356,55406,180762
33,15_17,152002,68103,220105
34,15_18,126145,54161,180306
35,15_19,115602,63014,178616
36,15_20,61703,30638,92341
37,15_21,22820,9765,32585
38,15_5,4464,4589,9053
39,15_7,6438,4589,11027
40,15_8,4788,4827,9615
41,15_9,74989,237613,312602
42,16_10,113890,52677,166567
43,16_11,118630,56608,175238
44,16_12,91030,45129,136159
45,16_13,95853,41285,137138
46,16_14,117959,292598015,292715974
47,16_15,132245,595077,727322
48,16_16,193883,1795903,1989786
49,16_17,170879,118771,289650
50,16_18,160202,78566,238768
51,16_19,81400,34843,116243
52,16_20,57059,24608,81667
53,16_21,90655,38880,129535
54,16_22,58256,27197,85453
55,16_23,64863,28041,92904
56,16_4,4504,4066,8570
57,16_9,69953,384684,454637
58,17_0,41727,18921,60648
59,17_1,50081,21505,71586
60,17_10,184467,81525,265992
61,17_11,194470,86521,280991
62,17_12,209744,90430,300174
63,17_13,192149,82586,274735
64,17_14,169239,73638,242877
65,17_15,199159,523969,723128
66,17_16,178187,85122,263309
67,17_17,124323,55587,179910
68,17_18,122157,1001772,1123929
69,17_19,111078,50090,161168
70,17_2,34396,18180,52576
71,17_20,83002,36319,119321
72,17_21,64033,27194,91227
73,17_22,54974,24249,79223
74,17_23,43129,274776,317905
75,17_3,47570,19601,67171
76,17_4,41232,19387,60619
77,17_5,63125,30821,93946
78,17_6,41403,21639,63042
79,17_7,38547,16289,54836
80,17_8,40638,21109,61747
81,17_9,157970,71495,229465
82,18_0,35121,14499,49620
83,18_1,40964,17236,58200
84,18_10,172887,75017,247904
85,18_11,142263,75428,217691
86,18_12,75929,30488,106417
87,18_13,105885,49401,155286
88,18_14,123738,66034,189772
89,18_15,130300,55771,186071
90,18_16,128564,54675,183239
91,18_17,102653,45972,148625
92,18_18,64797,27750,92547
93,18_19,78321,34924,113245
94,18_2,46760,20212,66972
95,18_20,71342,31799,103141
96,18_21,39906,16572,56478
97,18_22,24919,10582,35501
98,18_23,25685,10707,36392
99,18_3,42661,17701,60362
100,18_4,29811,13330,43141
101,18_5,29811,13330,43141
102,18_6,31274,13888,45162
103,18_7,53137,23141,76278
104,18_8,43462,18383,61845
105,18_9,82990,138404,221394
106,11-0,0,0,0
107,11-1,0,0,0
108,11-2,0,0,0
109,11-3,0,0,0
110,11-4,0,0,0
111,11-5,0,0,0
112,11-6,0,0,0
113,11-7,0,0,0
114,11-8,0,0,0
115,11-9,0,0,0
116,11-10,0,0,0
117,11-11,0,0,0
118,11-12,0,0,0
119,11-13,0,0,0
120,11-14,0,0,0
121,11-15,0,0,0
122,11-16,0,0,0
123,11-17,0,0,0
124,11-18,0,0,0
125,11-19,0,0,0
126,11-20,0,0,0
127,11-21,0,0,0
128,11-22,0,0,0
129,11-23,0,0,0
130,12-0,0,0,0
131,12-1,0,0,0
132,12-2,0,0,0
133,12-3,0,0,0
134,12-4,0,0,0
135,12-5,0,0,0
136,12-6,0,0,0
137,12-7,0,0,0
138,12-8,0,0,0
139,12-9,0,0,0
140,12-10,0,0,0
141,12-11,0,0,0
142,12-12,0,0,0
143,12-13,0,0,0
144,12-14,0,0,0
145,12-15,0,0,0
146,12-16,0,0,0
147,12-17,0,0,0
148,12-18,0,0,0
149,12-19,0,0,0
150,12-20,0,0,0
151,12-21,0,0,0
152,12-22,0,0,0
153,12-23,0,0,0
154,13-0,0,0,0
155,13-1,0,0,0
156,13-2,0,0,0
157,13-3,0,0,0
158,13-4,0,0,0
159,13-5,0,0,0
160,13-6,0,0,0
161,13-7,0,0,0
162,13-8,0,0,0
163,13-9,0,0,0
164,13-10,0,0,0
165,13-11,0,0,0
166,13-12,0,0,0
167,13-13,0,0,0
168,13-14,0,0,0
169,13-15,0,0,0
170,13-16,0,0,0
171,13-17,0,0,0
172,13-18,0,0,0
173,13-19,0,0,0
174,13-20,0,0,0
175,13-21,0,0,0
176,13-22,0,0,0
177,13-23,0,0,0
178,14-0,0,0,0
179,14-1,0,0,0
180,14-2,0,0,0
181,14-3,0,0,0
182,14-4,0,0,0
183,14-5,0,0,0
184,14-6,0,0,0
185,14-7,0,0,0
186,14-8,0,0,0
187,14-9,0,0,0
188,14-10,0,0,0
189,14-11,0,0,0
190,14-12,0,0,0
191,14-13,0,0,0
192,14-14,0,0,0
193,14-15,0,0,0
194,14-16,0,0,0
195,14-17,0,0,0
196,14-18,0,0,0
197,14-19,0,0,0
198,14-20,0,0,0
199,14-21,0,0,0
200,14-22,0,0,0
201,14-23,0,0,0
202,15-0,0,0,0
203,15-1,0,0,0
204,15-2,0,0,0
205,15-3,0,0,0
206,15-4,0,0,0
207,15-5,0,0,0
208,15-6,0,0,0
209,15-7,0,0,0
210,15-8,0,0,0
211,15-9,0,0,0
212,15-10,0,0,0
213,15-11,0,0,0
214,15-12,0,0,0
215,15-13,0,0,0
216,15-14,0,0,0
217,15-15,0,0,0
218,15-16,0,0,0
219,15-17,0,0,0
220,15-18,0,0,0
221,15-19,0,0,0
222,15-20,0,0,0
223,15-21,0,0,0
224,15-22,0,0,0
225,15-23,0,0,0
226,16-0,0,0,0
227,16-1,0,0,0
228,16-2,0,0,0
229,16-3,0,0,0
230,16-4,0,0,0
231,16-5,0,0,0
232,16-6,0,0,0
233,16-7,0,0,0
234,16-8,0,0,0
235,16-9,0,0,0
236,16-10,0,0,0
237,16-11,0,0,0
238,16-12,0,0,0
239,16-13,0,0,0
240,16-14,0,0,0
241,16-15,0,0,0
242,16-16,0,0,0
243,16-17,0,0,0
244,16-18,0,0,0
245,16-19,0,0,0
246,16-20,0,0,0
247,16-21,0,0,0
248,16-22,0,0,0
249,16-23,0,0,0
250,17-0,0,0,0
251,17-1,0,0,0
252,17-2,0,0,0
253,17-3,0,0,0
254,17-4,0,0,0
255,17-5,0,0,0
256,17-6,0,0,0
257,17-7,0,0,0
258,17-8,0,0,0
259,17-9,0,0,0
260,17-10,0,0,0
261,17-11,0,0,0
262,17-12,0,0,0
263,17-13,0,0,0
264,17-14,0,0,0
265,17-15,0,0,0
266,17-16,0,0,0
267,17-17,0,0,0
268,17-18,0,0,0
269,17-19,0,0,0
270,17-20,0,0,0
271,17-21,0,0,0
272,17-22,0,0,0
273,17-23,0,0,0
274,18-0,0,0,0
275,18-1,0,0,0
276,18-2,0,0,0
277,18-3,0,0,0
278,18-4,0,0,0
279,18-5,0,0,0
280,18-6,0,0,0
281,18-7,0,0,0
282,18-8,0,0,0
283,18-9,0,0,0
284,18-10,0,0,0
285,18-11,0,0,0
286,18-12,0,0,0
287,18-13,0,0,0
288,18-14,0,0,0
289,18-15,0,0,0
290,18-16,0,0,0
291,18-17,0,0,0
292,18-18,0,0,0
293,18-19,0,0,0
294,18-20,0,0,0
295,18-21,0,0,0
296,18-22,0,0,0
297,18-23,0,0,0
